City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,uturoa,-16.7333,-151.4333,80.71,82,93,11.9,PF,1699731484
279,colonia,50.9333,6.95,44.96,85,75,4.61,DE,1699731320
280,talnakh,69.4865,88.3972,14.43,95,100,7.83,RU,1699731485
281,fort bragg,35.139,-79.006,53.46,84,75,6.91,US,1699731486
282,rayachoti,14.05,78.75,68.2,92,71,1.95,IN,1699731487
283,altay,47.8667,88.1167,30.13,81,98,6.76,CN,1699731401
284,aioun,16.6614,-9.6149,84.09,11,38,9.95,MR,1699731488
285,kirakira,-10.4544,161.9205,79.34,88,100,9.93,SB,1699731489
286,oroqen zizhiqi,50.5667,123.7167,3.2,95,12,3.42,CN,1699731490
287,agadez,19.75,10.25,77.4,14,73,7.49,NE,1699731491
288,kuanda,56.3161,116.0806,1.47,96,88,0.98,RU,1699731492
289,kone,-21.0595,164.8658,72.1,69,33,5.01,NC,1699731493
290,mhamid,29.82,-5.72,75.88,22,4,5.64,MA,1699731494
291,at taj,24.2049,23.2857,71.87,35,99,12.01,LY,1699731495
292,curuzu cuatia,-29.7917,-58.0546,92.59,55,83,9.24,AR,1699731497
293,seclin,50.55,3.0333,46.89,86,25,0.0,FR,1699731498
294,salalah,17.0151,54.0924,80.69,78,0,3.44,OM,1699731498
295,ulladulla,-35.35,150.4667,58.77,80,92,3.6,AU,1699731499
296,hamilton,39.1834,-84.5333,53.6,49,0,8.05,US,1699731268
297,anatoli,39.6389,20.8653,51.93,83,75,1.14,GR,1699731500
298,novodvinsk,64.4165,40.8122,18.79,98,72,2.59,RU,1699731501
299,kavaratti,10.5669,72.642,83.21,76,99,4.23,IN,1699731502
300,marsh harbour,26.5412,-77.0636,80.38,74,24,13.29,BS,1699731323
301,lompoc,34.6391,-120.4579,81.01,33,0,3.44,US,1699731503
302,ulcinj,41.9294,19.2244,50.99,60,1,8.21,ME,1699731504
303,revda,56.801,59.9303,34.21,99,100,2.91,RU,1699731505
304,florencia,43.7667,11.25,55.24,86,20,2.3,IT,1699731450
305,tapon,10.0631,123.4453,78.49,86,59,3.18,PH,1699731506
306,hobyo,5.3505,48.5268,80.67,81,100,8.61,SO,1699731507
307,suva,-18.1416,178.4415,74.68,94,75,6.91,FJ,1699731500
308,rockland,41.1668,-74.0496,53.85,52,72,1.01,US,1699731326
309,mendaha,-1.0333,103.5833,76.05,92,49,2.04,ID,1699731509
310,port mathurin,-19.6833,63.4167,76.73,82,6,5.08,MU,1699731510
311,afaahiti,-17.75,-149.2833,85.87,81,87,14.43,PF,1699731510
312,chinchilla,-26.75,150.6333,64.42,80,23,11.56,AU,1699731511
313,kyongsong,41.5878,129.6061,28.27,47,2,4.68,KP,1699731512
314,broken hill,-31.95,141.4333,62.04,30,31,16.13,AU,1699731513
315,alaghsas,17.0187,8.0168,81.55,15,57,9.62,NE,1699731513
316,castelli,-25.9468,-60.6195,113.25,17,67,11.27,AR,1699731514
317,enewetak,11.3474,162.3373,82.8,76,79,15.88,MH,1699731515
318,nabire,-3.3667,135.4833,75.25,88,97,4.5,ID,1699731516
319,talcahuano,-36.7167,-73.1167,55.08,58,20,19.57,CL,1699731517
320,prudentopolis,-25.2131,-50.9778,88.02,43,27,3.98,BR,1699731518
321,praia da vitoria,38.7333,-27.0667,68.25,77,20,8.9,PT,1699731519
322,vernon,50.2581,-119.2691,49.53,62,95,15.01,CA,1699731519
323,tofol,5.3248,163.0078,78.58,89,100,3.44,FM,1699731520
324,katabu,-4.9333,122.5167,74.07,95,69,2.59,ID,1699731521
325,valparaiso,-33.0393,-71.6273,66.0,67,75,5.75,CL,1699731522
326,manta,-0.95,-80.7333,80.38,69,100,12.66,EC,1699731523
327,enchanted hills,35.3368,-106.593,55.27,54,4,3.0,US,1699731460
328,myshkin,57.7897,38.4545,38.08,88,100,6.04,RU,1699731525
329,goure,13.9835,10.2704,84.33,15,67,7.76,NE,1699731526
330,leer,53.2316,7.461,46.94,96,96,1.01,DE,1699731527
331,nishinoomote,30.7333,131.0,66.38,65,100,18.59,JP,1699731527
332,inhuma,-6.6683,-41.7078,96.91,16,63,5.12,BR,1699731528
333,ha'il,27.5219,41.6907,68.02,37,0,4.61,SA,1699731529
334,mawu,29.5923,107.3139,55.9,92,82,2.82,CN,1699731530
335,portland,45.5234,-122.6762,54.45,91,100,8.99,US,1699731145
336,sidi merouane,36.5206,6.2611,65.68,60,12,2.26,DZ,1699731531
337,port saint john's,-31.6229,29.5448,67.53,88,97,12.01,ZA,1699731532
338,kyzyl-suu,42.3414,78.0056,38.71,45,100,5.55,KG,1699731532
339,jayapura,-2.5333,140.7,78.19,92,100,5.06,ID,1699731533
340,haiku-pauwela,20.9219,-156.3051,79.16,67,20,20.71,US,1699731534
341,laranjeiras do sul,-25.4078,-52.4161,84.02,62,30,4.79,BR,1699731535
342,khenchela,35.4358,7.1433,55.51,51,48,3.71,DZ,1699731535
343,kununurra,-15.7667,128.7333,73.38,94,75,0.0,AU,1699731536
344,nova sintra,14.8667,-24.7167,72.75,71,23,12.3,CV,1699731537
345,waslala,13.2333,-85.3833,79.68,92,88,4.92,NI,1699731537
346,colares,38.7992,-9.4469,65.98,91,97,11.81,PT,1699731538
347,banda aceh,5.5577,95.3222,79.77,83,100,3.29,ID,1699731441
348,phan thiet,10.9333,108.1,75.99,88,77,5.61,VN,1699731540
349,okha,53.5739,142.9478,21.52,85,100,17.07,RU,1699731541
350,klaksvik,62.2266,-6.589,36.52,63,95,16.06,FO,1699731542
351,santana,-0.0583,-51.1817,91.58,52,40,16.11,BR,1699731543
352,irtyshsk,53.3333,75.4572,40.44,79,100,7.94,KZ,1699731543
353,arno,60.1167,18.6333,40.78,95,13,4.36,SE,1699731544
354,sabang,5.8933,95.3214,80.51,82,100,7.0,ID,1699731545
355,nagqu,31.5,92.0,24.94,63,100,9.82,CN,1699731385
356,lazaro cardenas,17.9583,-102.2,86.36,64,6,7.05,MX,1699731370
357,mohr,54.3528,9.7167,44.74,97,58,3.44,DE,1699731548
